"train/global_step","gpt2-large_aux-without_ln - _step","gpt2-large_aux-without_ln - _step__MIN","gpt2-large_aux-without_ln - _step__MAX","gpt2-large_aux-without_ln - main_loss","gpt2-large_aux-without_ln - main_loss__MIN","gpt2-large_aux-without_ln - main_loss__MAX"
"60","5914.692307692308","5906","5923","2.7141765631162205","2.6144728660583496","2.7801859378814697"
"61","6011.875","6004","6019","2.738674134016037","2.650052070617676","2.912895441055298"
"62","6109.125","6103","6118","2.6700296998023987","2.5910019874572754","2.7560338973999023"
"63","6206.5","6199","6215","3.191636025905609","3.065484046936035","3.305760622024536"
"64","6305.555555555556","6297","6312","3.029127147462633","2.926797389984131","3.16792631149292"
"65","6398.818181818182","6392","6404","2.9446297992359507","2.8764753341674805","3.0440309047698975"
"66","6498.4","6491","6507","2.921688508987427","2.7833733558654785","3.0545456409454346"
"67","6594.916666666667","6587","6604","2.884303092956543","2.7902629375457764","2.991314649581909"
"68","6696.111111111111","6689","6701","2.9188338385687933","2.8251380920410156","3.036560535430908"
"69","6789.846153846154","6781","6798","2.8332204818725586","2.662034273147583","2.9629743099212646"
"70","6888.692307692308","6879","6896","2.8450051637796254","2.704376697540283","2.9241600036621094"
"71","6984.454545454545","6976","6993","2.8444485014135186","2.728198289871216","2.9513351917266846"
"72","7080.857142857143","7073","7090","2.8028637170791626","2.713118076324463","2.9088845252990723"
"73","7178.3","7171","7187","2.8018690824508665","2.6930899620056152","2.9314541816711426"
"74","7277.111111111111","7269","7285","2.7485609584384494","2.6245346069335938","2.8773534297943115"
"75","7372.2","7365","7380","2.8144708633422852","2.7513163089752197","2.856200695037842"
"76","7471.181818181818","7464","7479","2.791138995777477","2.6621787548065186","2.920884132385254"
"77","7566.714285714285","7560","7576","2.769749505179269","2.702638626098633","2.8177239894866943"
"78","7666.181818181818","7657","7674","2.792140158739957","2.7287232875823975","2.880349636077881"
"79","7761.4","7756","7768","2.8099103927612306","2.733009099960327","2.8875906467437744"
"80","7861.181818181818","7854","7868","2.7411376996473833","2.617327928543091","2.8824026584625244"
"81","7954.5","7949","7962","2.793036788702011","2.686807632446289","2.899569034576416"
"82","8055.125","8048","8062","2.7023986279964447","2.574758529663086","2.823094606399536"
"83","8150.545454545455","8145","8157","2.762201937762174","2.631913423538208","2.8444764614105225"
"84","8247.375","8240","8257","2.742539405822754","2.6680126190185547","2.8261075019836426"
"85","8345.333333333334","8338","8354","2.763309061527252","2.6296896934509277","2.8757245540618896"
"86","8442.625","8436","8448","2.7718250453472137","2.6301052570343018","2.860004425048828"
"87","8541.7","8535","8549","2.765162777900696","2.6380295753479004","2.8701188564300537"
"88","8636.6","8630","8642","2.734403872489929","2.6091220378875732","2.829273223876953"
"89","8733.888888888889","8727","8739","2.7382809850904675","2.6706724166870117","2.849529504776001"
"90","8831.222222222223","8827","8837","2.7554487917158337","2.653006076812744","2.8491597175598145"
"91","8930.181818181818","8921","8938","2.766220201145519","2.636808156967163","2.890845537185669"
"92","9026.222222222223","9019","9035","2.768227974573771","2.7199854850769043","2.893494129180908"
"93","9124.181818181818","9115","9132","2.7406111630526455","2.651271343231201","2.8452041149139404"
"94","9220.375","9214","9230","2.779318779706955","2.686795234680176","2.8921287059783936"
"95","9318.333333333334","9310","9327","2.7166743543412952","2.6494057178497314","2.883826494216919"
"96","9414.222222222223","9407","9424","2.755332416958279","2.656437635421753","2.8359792232513428"
"97","9510.5","9505","9521","2.751109093427658","2.6525392532348633","2.841050624847412"
"98","9612.5","9605","9619","2.761810859044393","2.684861898422241","2.8291842937469482"
"99","9707.083333333334","9699","9716","2.756825049718221","2.5136449337005615","2.860037088394165"
"100","9862.058823529413","9718","10064","2.656540787395309","1.6094697713851929","6.323753356933594"
"101","10152.666666666666","10144","10161","2.7603968580563865","2.6935107707977295","2.856736421585083"
"102","10249.833333333334","10243","10257","2.7509292165438333","2.681727647781372","2.8303258419036865"
"103","10348.076923076924","10341","10356","2.735422574556791","2.64102840423584","2.834704875946045"
"104","10445.083333333334","10436","10453","2.737756311893463","2.621217727661133","2.889908790588379"
"105","10542.7","10533","10550","2.7203719139099123","2.6189465522766113","2.775954008102417"
"106","10638.727272727272","10631","10646","2.71563365242698","2.626969575881958","2.788235902786255"
"107","10736.25","10728","10744","2.7389106353123984","2.591916799545288","2.8376002311706543"
"108","10834.25","10826","10842","2.731838643550873","2.629642963409424","2.848797559738159"
"109","10931.461538461539","10924","10939","2.747819552054772","2.548391819000244","2.846250057220459"
"110","11028.75","11021","11037","2.7178330024083457","2.5846424102783203","2.8193814754486084"
"111","11124.25","11117","11132","2.74666690826416","2.644162178039551","2.838271141052246"
"112","11222.1","11214","11230","2.7814786434173584","2.6797890663146973","2.8981173038482666"
"113","11318.92857142857","11311","11326","2.719174657549177","2.6044342517852783","2.8986990451812744"
"114","11416.111111111111","11410","11425","2.7182123925950794","2.592728614807129","2.8304903507232666"
"115","11513.666666666666","11506","11521","2.7425634463628135","2.6732044219970703","2.7987635135650635"
"116","11611.833333333334","11603","11620","2.7246815164883933","2.6875953674316406","2.828972816467285"
"117","11708.454545454546","11700","11717","2.725685813210227","2.597961664199829","2.880980968475342"
"118","11806.42857142857","11800","11814","2.674617733274187","2.5732243061065674","2.769057512283325"
"119","11904.8","11897","11912","2.7235647201538087","2.6125290393829346","2.8606741428375244"
"120","12001.5","11993","12009","2.735421280066172","2.640778064727783","2.830524444580078"
"121","12096.142857142857","12090","12106","2.7303974628448486","2.6708104610443115","2.800788640975952"
"122","12195.166666666666","12187","12203","2.6901935736338296","2.6180171966552734","2.787308692932129"
"123","12293","12284","12301","2.712947266442435","2.574713706970215","2.8537557125091553"
"124","12389.166666666666","12381","12398","2.6897000273068747","2.6071903705596924","2.790144681930542"
"125","12488.375","12480","12495","2.6892862021923065","2.589493751525879","2.7762539386749268"
"126","12583.272727272728","12576","12593","2.7359787334095347","2.612009286880493","2.815728187561035"
"127","12680.2","12673","12689","2.747520637512207","2.5857415199279785","2.7914299964904785"
"128","12778.142857142857","12771","12787","2.7319114208221436","2.609309434890747","2.874063730239868"
"129","12873.461538461539","12867","12880","2.7271260481614332","2.5608935356140137","2.8546030521392822"
"130","12974","12966","12982","2.696841998533769","2.584277629852295","2.764090061187744"
"131","13069.875","13062","13076","2.6866094172000885","2.571457862854004","2.8678030967712402"
"132","13169.444444444445","13162","13176","2.7196560965643988","2.6028592586517334","2.813873767852783"
"133","13265.181818181818","13257","13272","2.7008829333565454","2.5337071418762207","2.848893642425537"
"134","13363","13354","13371","2.6864080693986683","2.543303966522217","2.7575416564941406"
"135","13460.5","13452","13468","2.70788045724233","2.61217999458313","2.8126447200775146"
"136","13556.272727272728","13548","13563","2.714389844374223","2.641488552093506","2.8623898029327393"
"137","13652.57142857143","13646","13660","2.687084334237235","2.630359649658203","2.755566358566284"
"138","13753.555555555555","13743","13760","2.682934602101644","2.595383405685425","2.8372559547424316"
"139","13846.777777777777","13840","13853","2.6884277396731906","2.611405611038208","2.7455618381500244"
"140","13945.75","13937","13954","2.7168651819229126","2.5615222454071045","2.80051851272583"
"141","14043.714285714286","14034","14051","2.720853124346052","2.6280486583709717","2.7850773334503174"
"142","14140.5","14134","14149","2.7517234802246096","2.621385335922241","2.8494205474853516"
"143","14235.888888888889","14230","14241","2.7342815664079456","2.513964891433716","2.800240993499756"
"144","14334","14328","14341","2.7101871490478517","2.5731565952301025","2.8666508197784424"
"145","14429.375","14424","14439","2.7101135551929474","2.61161470413208","2.7770450115203857"
"146","14528.555555555555","14521","14538","2.7067313724093967","2.591543197631836","2.7930665016174316"
"147","14626.642857142857","14618","14634","2.740808401788984","2.6529457569122314","2.9089574813842773"
"148","14722.222222222223","14715","14732","2.7033317353990345","2.5105504989624023","2.844064235687256"
"149","14820.666666666666","14815","14828","2.7240864170922174","2.6105551719665527","2.7926387786865234"
"150","14918.5","14911","14927","2.7110564510027566","2.6352670192718506","2.777904510498047"
"151","15014.90909090909","15007","15024","2.724842158230868","2.648460626602173","2.8220560550689697"
"152","15111.666666666666","15104","15121","2.731254975001017","2.6455256938934326","2.8127875328063965"
"153","15210.181818181818","15202","15218","2.6851711056449195","2.5789875984191895","2.804171562194824"
"154","15306.90909090909","15300","15316","2.705151991410689","2.6407816410064697","2.7879371643066406"
"155","15403.727272727272","15396","15411","2.7369586771184746","2.626943349838257","2.8786849975585938"
"156","15500.25","15493","15509","2.734479467074076","2.6148927211761475","2.7817070484161377"
"157","15596.727272727272","15590","15603","2.7533716505224053","2.6947078704833984","2.8851747512817383"
"158","15698.2","15689","15705","2.7093261241912843","2.5198614597320557","2.7886738777160645"
"159","15796","15788","15802","2.743060244454278","2.593729019165039","2.8377127647399902"
"160","15890.75","15882","15899","2.704839825630188","2.6213696002960205","2.778902530670166"
"161","15986.363636363636","15979","15996","2.706203742460771","2.6168673038482666","2.8682384490966797"
"162","16086.8","16077","16094","2.705349087715149","2.6387131214141846","2.8167166709899902"
"163","16183.333333333334","16174","16191","2.703016016218397","2.576641321182251","2.8362503051757812"
"164","16280.545454545454","16271","16288","2.716029492291537","2.564950942993164","2.8263676166534424"
"165","16377.444444444445","16369","16385","2.705509556664361","2.674668788909912","2.7709975242614746"
"166","16474.11111111111","16467","16483","2.748026874330309","2.6583282947540283","2.834268093109131"
"167","16571.444444444445","16565","16579","2.6831992467244468","2.55202579498291","2.827299118041992"
"168","16670.125","16662","16677","2.731962114572525","2.6198718547821045","2.8040359020233154"
"169","16764.454545454544","16757","16774","2.750057177110152","2.6125905513763428","2.8523616790771484"
"170","16864.6","16858","16871","2.710567808151245","2.590777635574341","2.8258626461029053"
"171","16959.69230769231","16952","16968","2.717300525078407","2.4980356693267822","2.8274545669555664"
"172","17057.875","17050","17066","2.7186458706855774","2.581437349319458","2.8274970054626465"
"173","17154.64285714286","17146","17163","2.6735908303942","2.555659532546997","2.783799886703491"
"174","17249.5","17244","17256","2.6897076765696206","2.604755401611328","2.7275846004486084"
"175","17348.5","17341","17356","2.728957772254944","2.6543233394622803","2.8359668254852295"
"176","17448.428571428572","17442","17454","2.7318195956093922","2.511270523071289","2.8750526905059814"
"177","17541.9","17535","17552","2.7501610040664675","2.6362485885620117","2.9839470386505127"
"178","17640.363636363636","17633","17650","2.714538964358243","2.6267168521881104","2.7845876216888428"
"179","17738.75","17731","17746","2.672831892967224","2.599524736404419","2.7819576263427734"
"180","17837.833333333332","17827","17844","2.7313601771990457","2.6582319736480713","2.804596424102783"
"181","17931.81818181818","17925","17941","2.7452393878589976","2.6188786029815674","2.830714464187622"
"182","18029.333333333332","18023","18039","2.732514805263943","2.629194498062134","2.8409500122070312"
"183","18128.272727272728","18122","18136","2.7175574085929175","2.483417272567749","2.87898588180542"
"184","18225.2","18217","18232","2.7578011751174927","2.6862447261810303","2.8852436542510986"
"185","18321.416666666668","18313","18330","2.7589284578959146","2.6490590572357178","2.868112802505493"
"186","18420.85714285714","18411","18428","2.720481804439","2.6300649642944336","2.824981689453125"
"187","18515","18508","18523","2.733343482017517","2.5643789768218994","2.9080512523651123"
"188","18615.727272727272","18608","18622","2.7491161823272705","2.6598308086395264","2.844027519226074"
"189","18711.222222222223","18703","18718","2.730896419949002","2.6331892013549805","2.805797576904297"
"190","18807.9","18800","18817","2.7148783922195436","2.5772488117218018","2.8038229942321777"
"191","18906.083333333332","18897","18914","2.7223140398661294","2.5428504943847656","2.847362518310547"
"192","19004.25","18998","19011","2.717869222164154","2.621563196182251","2.843857765197754"
"193","19100","19091","19107","2.721483508745829","2.631955146789551","2.8135766983032227"
"194","19198.875","19192","19205","2.6908868551254272","2.538954019546509","2.8118200302124023"
"195","19294.777777777777","19287","19303","2.7404825687408447","2.621385097503662","2.8605666160583496"
"196","19392.88888888889","19383","19400","2.7229904068840876","2.6493775844573975","2.8245151042938232"
"197","19489.11111111111","19482","19497","2.713672320048014","2.54026460647583","2.7853283882141113"
"198","19587.090909090908","19578","19594","2.7366257797588003","2.6443631649017334","2.8298041820526123"
"199","19683.5","19675","19692","2.7469667196273804","2.6333727836608887","2.8413846492767334"
"200","19834.666666666668","19694","20038","2.912463523092724","1.5732989311218262","7.159738540649414"
"201","20130.2","20123","20137","2.739222526550293","2.6592068672180176","2.7733418941497803"
"202","20226.272727272728","20218","20234","2.707193613052368","2.581286907196045","2.8061766624450684"
"203","20322","20315","20332","2.7295453018612332","2.602696180343628","2.8109960556030273"
"204","20419.571428571428","20413","20429","2.734287364142282","2.6875081062316895","2.8137078285217285"
"205","20517.25","20512","20523","2.78779336810112","2.731205701828003","2.89534854888916"
"206","20615.727272727272","20608","20624","2.727219646627253","2.6597702503204346","2.7866928577423096"
"207","20712.75","20707","20721","2.7364300787448883","2.6632161140441895","2.7889528274536133"
"208","20809.7","20802","20817","2.751730036735535","2.5829379558563232","2.912519693374634"
"209","20906.25","20898","20915","2.735955516497294","2.5469419956207275","2.9267210960388184"
"210","21004.5","20997","21013","2.7259854316711425","2.577848434448242","2.818174362182617"
"211","21101.8","21093","21109","2.7100027561187745","2.6073415279388428","2.81978702545166"
"212","21195.14285714286","21190","21200","2.7492870603288924","2.6284255981445312","2.9115374088287354"
"213","21295.333333333332","21287","21304","2.746372355355157","2.626683235168457","2.8085849285125732"
"214","21393.333333333332","21385","21402","2.705143451690674","2.6671149730682373","2.7799859046936035"
"215","21489.555555555555","21482","21499","2.7014464007483587","2.5416109561920166","2.837750196456909"
"216","21587.222222222223","21579","21594","2.681190941068861","2.5378012657165527","2.768965005874634"
"217","21686.333333333332","21678","21693","2.740558942159017","2.5026512145996094","2.864269256591797"
"218","21783.666666666668","21775","21791","2.6844869719611273","2.5724573135375977","2.810797691345215"
"219","21880.1","21872","21888","2.6937259674072265","2.5828065872192383","2.811872959136963"
"220","21974.8","21968","21985","2.701430344581604","2.6387810707092285","2.7961771488189697"
"221","22073.153846153848","22065","22082","2.754882757480328","2.648275136947632","2.920525312423706"
"222","22170.9","22163","22179","2.726897096633911","2.640202760696411","2.8308756351470947"
"223","22268.3","22261","22277","2.762645149230957","2.6385109424591064","2.8817689418792725"
"224","22365.416666666668","22358","22374","2.732640326023102","2.5374743938446045","2.8490262031555176"
"225","22461.666666666668","22457","22470","2.729141036669413","2.549398422241211","2.8606579303741455"
"226","22560.11111111111","22552","22569","2.724736054738363","2.6024508476257324","2.8238723278045654"
"227","22660.666666666668","22654","22666","2.6798694133758545","2.5845556259155273","2.7733030319213867"
"228","22754.777777777777","22746","22762","2.7326374583774142","2.634188652038574","2.8353731632232666"
"229","22852.8","22845","22860","2.7122314453125","2.6757514476776123","2.806053876876831"
"230","22949.166666666668","22941","22958","2.734375794728597","2.5742976665496826","2.869028091430664"
"231","23044.9","23039","23053","2.713037371635437","2.576930046081543","2.8230037689208984"
"232","23144","23135","23152","2.740250067277388","2.6391167640686035","2.892224073410034"
"233","23240.625","23232","23248","2.727751314640045","2.6032862663269043","2.806711196899414"
"234","23338","23331","23346","2.674877166748047","2.6061041355133057","2.738569974899292"
"235","23435.88888888889","23428","23443","2.7345755100250244","2.628410577774048","2.841343402862549"
"236","23532.18181818182","23524","23540","2.697410886937922","2.61895489692688","2.7850685119628906"
"237","23629.8","23622","23637","2.7253162145614622","2.6159415245056152","2.856785535812378"
"238","23727.416666666668","23720","23734","2.7195046146710715","2.5349414348602295","2.8658952713012695"
"239","23826.444444444445","23822","23833","2.7670125696394177","2.5664820671081543","2.8598556518554688"
"240","23922.25","23914","23929","2.7369284927845","2.6726531982421875","2.8065242767333984"
"241","24020.083333333332","24011","24027","2.707149008909861","2.614647626876831","2.804933547973633"
"242","24115.454545454544","24109","24122","2.742845058441162","2.672224760055542","2.833643913269043"
"243","24211.625","24206","24220","2.6982323825359344","2.5894887447357178","2.7821500301361084"
"244","24311.7","24303","24319","2.6664160966873167","2.549621343612671","2.790846586227417"
"245","24407.875","24399","24416","2.7215763330459595","2.607839822769165","2.8164095878601074"
"246","24507.666666666668","24498","24514","2.7580164273579917","2.70186448097229","2.837630033493042"
"247","24602.6","24596","24611","2.734742045402527","2.624100685119629","2.8732659816741943"
"248","24698.2","24692","24706","2.7456738471984865","2.6856210231781006","2.8198068141937256"
"249","24794.875","24789","24805","2.6837300658226013","2.6214070320129395","2.8325421810150146"
"250","24894.25","24887","24903","2.7375431954860687","2.6212806701660156","2.8866589069366455"
"251","24990.285714285714","24983","24999","2.6801659039088657","2.512753486633301","2.8167755603790283"
"252","25087.846153846152","25081","25096","2.715689640778762","2.5828936100006104","2.831735610961914"
"253","25185.1","25178","25194","2.7172309160232544","2.6438913345336914","2.8000385761260986"
"254","25282.444444444445","25275","25291","2.7409282525380454","2.6541826725006104","2.944434881210327"
"255","25380.11111111111","25372","25387","2.7300234370761447","2.6091787815093994","2.779435873031616"
"256","25475.090909090908","25469","25486","2.7018285881389272","2.6198384761810303","2.7725279331207275"
"257","25575.88888888889","25570","25583","2.6878720124562583","2.5718376636505127","2.8494231700897217"
"258","25674","25668","25680","2.660048007965088","2.544527292251587","2.750446081161499"
"259","25769.428571428572","25761","25778","2.717227578163147","2.628690481185913","2.794478416442871"
"260","25864.555555555555","25858","25875","2.6841473314497204","2.559143304824829","2.830268383026123"
"261","25963.4","25955","25971","2.7266886234283447","2.586300849914551","2.8373219966888428"
"262","26062.416666666668","26054","26069","2.7419233322143555","2.6257550716400146","2.912815570831299"
"263","26157.636363636364","26150","26165","2.7028061043132436","2.539785385131836","2.8511643409729004"
"264","26258.25","26254","26262","2.700069010257721","2.6267616748809814","2.7782766819000244"
"265","26354.11111111111","26344","26361","2.7042554484473333","2.5966649055480957","2.800374746322632"
"266","26450.8","26442","26457","2.7164833784103393","2.6552627086639404","2.8489034175872803"
"267","26546.3","26539","26556","2.701667594909668","2.5865933895111084","2.791959762573242"
"268","26642.833333333332","26637","26648","2.7716564337412515","2.706778049468994","2.839425563812256"
"269","26742.153846153848","26733","26750","2.720808799450214","2.593574285507202","2.893853187561035"
"270","26839.6","26831","26848","2.701011228561401","2.625985622406006","2.7572553157806396"
"271","26935.2","26930","26941","2.6938100337982176","2.6284806728363037","2.845319986343384"
"272","27032.090909090908","27025","27039","2.740109226920388","2.5947351455688477","2.8479769229888916"
"273","27129.375","27122","27137","2.706410378217697","2.604928970336914","2.769639730453491"
"274","27225.428571428572","27220","27234","2.7299117020198276","2.6497464179992676","2.788649559020996"
"275","27325.166666666668","27318","27334","2.6921186049779258","2.566765069961548","2.7675869464874268"
"276","27420.444444444445","27414","27428","2.7136191527048745","2.632800817489624","2.8322653770446777"
"277","27518.7","27511","27528","2.6606926202774046","2.495769500732422","2.796600818634033"
"278","27616.909090909092","27609","27625","2.7316564213145864","2.5632951259613037","2.8293063640594482"
"279","27715.125","27706","27723","2.6702094972133636","2.5397162437438965","2.7772114276885986"
"280","27812.333333333332","27804","27820","2.730138646231757","2.5855255126953125","2.8170175552368164"
"281","27908.666666666668","27902","27917","2.717905839284261","2.6329123973846436","2.811429023742676"
"282","28005.333333333332","27998","28013","2.7246517141660056","2.580195665359497","2.8733882904052734"
"283","28103.8","28095","28112","2.687463402748108","2.6237995624542236","2.798828601837158"
"284","28200.5","28192","28209","2.6739749567849294","2.598068952560425","2.784379243850708"
"285","28296.5","28289","28306","2.6966530481974282","2.6173818111419678","2.763737916946411"
"286","28393.9","28388","28403","2.746485376358032","2.6693527698516846","2.918214797973633"
"287","28492.833333333332","28484","28500","2.7001590728759766","2.5928821563720703","2.7860922813415527"
"288","28586.25","28581","28593","2.711659163236618","2.6064133644104004","2.9267539978027344"
"289","28686.125","28678","28695","2.6956966817379","2.581765651702881","2.7867484092712402"
"290","28786","28777","28793","2.7325635978153775","2.648477792739868","2.866483211517334"
"291","28880.7","28873","28888","2.6827066421508787","2.5441272258758545","2.7697267532348633"
"292","28979.9","28970","28987","2.7363821506500243","2.645890712738037","2.825104236602783"
"293","29075","29067","29083","2.6950637234581842","2.623448610305786","2.735379457473755"
"294","29172.916666666668","29165","29182","2.720987021923065","2.576566696166992","2.8303637504577637"
"295","29271","29262","29279","2.68778395652771","2.497870445251465","2.858320713043213"
"296","29367.571428571428","29359","29375","2.728201355252947","2.595961570739746","2.8265633583068848"
"297","29465.75","29458","29473","2.713531494140625","2.5765061378479004","2.8299057483673096"
"298","29561.625","29554","29568","2.7111962735652924","2.5237274169921875","2.8491291999816895"
"299","29660.4","29651","29668","2.727394700050354","2.578305959701538","2.910208225250244"
"300","29819.39285714286","29670","30015","2.743425020149776","1.5740262269973755","5.689160346984863"
"301","30105.333333333332","30096","30113","2.714129262500339","2.5978477001190186","2.8168938159942627"
"302","30203.555555555555","30197","30211","2.7210498915778265","2.574709892272949","2.8497979640960693"
"303","30298.666666666668","30291","30308","2.708011653688219","2.590980291366577","2.920851469039917"
"304","30393.875","30389","30398","2.7346947491168976","2.615643262863159","2.8431971073150635"
"305","30495.375","30485","30501","2.694999575614929","2.6495959758758545","2.7626147270202637"
"306","30595","30592","30600","2.7331400712331138","2.6618521213531494","2.837056875228882"
"307","30688.083333333332","30680","30697","2.6775922576586404","2.612593412399292","2.762939453125"
"308","30787","30782","30793","2.6927183866500854","2.5959510803222656","2.7786827087402344"
"309","30881","30875","30891","2.722705682118734","2.6282033920288086","2.8263683319091797"
"310","30979.2","30972","30986","2.692824649810791","2.6003129482269287","2.788666009902954"
"311","31077.833333333332","31069","31086","2.7257503271102905","2.658766746520996","2.8199288845062256"
"312","31173.571428571428","31166","31183","2.755703483309065","2.684802532196045","2.8607165813446045"
"313","31270.6","31263","31278","2.6763234376907348","2.5600244998931885","2.8342838287353516"
"314","31367.777777777777","31361","31374","2.730577097998725","2.6288115978240967","2.82777738571167"
"315","31462.75","31458","31468","2.6497966647148132","2.591080665588379","2.705472230911255"
"316","31564.5","31557","31571","2.693662941455841","2.579028844833374","2.846444606781006"
"317","31660.11111111111","31652","31669","2.7175878948635526","2.6236166954040527","2.8223323822021484"
"318","31755.625","31750","31763","2.786224663257599","2.674838066101074","2.8781449794769287"
"319","31855.727272727272","31849","31863","2.749187469482422","2.6065289974212646","2.8577327728271484"
"320","31951.083333333332","31944","31960","2.7222798069318137","2.5420587062835693","2.8536739349365234"
"321","32050","32041","32058","2.7064287066459656","2.5997495651245117","2.80438494682312"
"322","32147.272727272728","32138","32155","2.6925119053233755","2.5813510417938232","2.8434066772460938"
"323","32242.545454545456","32236","32250","2.6915634111924605","2.626516103744507","2.8003339767456055"
"324","32342.375","32333","32350","2.7321124970912933","2.638227701187134","2.8210911750793457"
"325","32438.7","32432","32446","2.7034191846847535","2.526182174682617","2.8057308197021484"
