"train/global_step","gpt2-xl_aux-without_ln - _step","gpt2-xl_aux-without_ln - _step__MIN","gpt2-xl_aux-without_ln - _step__MAX","gpt2-xl_aux-without_ln - main_loss","gpt2-xl_aux-without_ln - main_loss__MIN","gpt2-xl_aux-without_ln - main_loss__MAX"
"47","6270","6260","6285","2.5822903088160922","2.4755876064300537","2.6878879070281982"
"48","6395.5","6390","6404","2.5786765019098916","2.456341028213501","2.715690851211548"
"49","6530","6524","6539","2.523461898167928","2.425236225128174","2.5765278339385986"
"50","6662.888888888889","6655","6675","2.5978841516706677","2.4755609035491943","2.7538444995880127"
"51","6797.3","6784","6809","2.587921690940857","2.431124210357666","2.6804161071777344"
"52","6930.5","6920","6941","2.521392375230789","2.4513049125671387","2.55238938331604"
"53","7054.666666666667","7051","7057","2.6390961011250815","2.584397077560425","2.729733943939209"
"54","7197.75","7189","7203","2.5904465317726135","2.5196099281311035","2.631659746170044"
"55","7321","7313","7333","2.5455088019371033","2.4908370971679688","2.6054275035858154"
"56","7456.75","7441","7467","2.5489235122998557","2.438706159591675","2.6919991970062256"
"57","7582.6","7573","7595","2.553565788269043","2.492643117904663","2.673745632171631"
"58","7723","7716","7729","2.608466386795044","2.5499534606933594","2.678924560546875"
"59","7847.111111111111","7837","7858","2.596360524495443","2.5429928302764893","2.66111421585083"
"60","7975.5","7967","7985","2.6169393062591553","2.548879861831665","2.666607618331909"
"61","8115.6","8107","8122","2.57515811920166","2.482055902481079","2.6763596534729004"
"62","8245.25","8234","8252","2.4986963868141174","2.425882577896118","2.5748984813690186"
"63","8373.1","8365","8386","2.553811550140381","2.4649362564086914","2.7282912731170654"
"64","8501.555555555555","8490","8513","2.597974114947849","2.5247607231140137","2.6496262550354004"
"65","8630.714285714286","8621","8637","2.569293567112514","2.5036466121673584","2.6470394134521484"
"66","8764.4","8761","8768","2.583670663833618","2.48089337348938","2.641592025756836"
"67","8892.166666666666","8885","8898","2.553993066151937","2.4913291931152344","2.625957489013672"
"68","9032.4","9027","9042","2.6139742851257326","2.487830638885498","2.763493061065674"
"69","9161.42857142857","9146","9173","2.5905027048928395","2.4456112384796143","2.6855101585388184"
"70","9294.833333333334","9282","9305","2.551786700884501","2.4622445106506348","2.603135585784912"
"71","9419.8","9409","9434","2.564093017578125","2.471710681915283","2.7354390621185303"
"72","9549.857142857143","9545","9556","2.5463816097804477","2.4940993785858154","2.630138635635376"
"73","9684.142857142857","9676","9698","2.559754337583269","2.4431588649749756","2.7548651695251465"
"74","9815.285714285714","9804","9826","2.508378199168614","2.425938606262207","2.571369171142578"
"75","9947.857142857143","9938","9961","2.5452003479003906","2.4468564987182617","2.6309423446655273"
"76","10080.333333333334","10071","10088","2.6013453801472983","2.5754289627075195","2.642310619354248"
"77","10211.25","10201","10222","2.536259710788727","2.4856693744659424","2.605165481567383"
"78","10342","10328","10355","2.576263944307963","2.4637022018432617","2.6542253494262695"
"79","10469.166666666666","10461","10486","2.5795222918192544","2.4623172283172607","2.661898612976074"
"80","10604","10592","10615","2.555502676963806","2.4552407264709473","2.6728720664978027"
"81","10738.333333333334","10731","10748","2.5194051265716553","2.427528142929077","2.5680882930755615"
"82","10870.714285714286","10858","10879","2.5369702747889926","2.4484059810638428","2.6013264656066895"
"83","10995.75","10985","11008","2.6492193937301636","2.4564380645751953","2.857617139816284"
"84","11127.833333333334","11115","11142","2.663580060005188","2.582348585128784","2.815776824951172"
"85","11266.833333333334","11259","11273","2.6918612718582153","2.6256415843963623","2.789254665374756"
"86","11387.5","11380","11397","2.618465304374695","2.5040173530578613","2.6800930500030518"
"87","11530","11530","11530","2.676255702972412","2.676255702972412","2.676255702972412"
"88","11647.5","11644","11651","2.768086314201355","2.686337947845459","2.849834680557251"
"89","11783.57142857143","11775","11798","2.5911898612976074","2.506253480911255","2.6722207069396973"
"90","11918.285714285714","11912","11928","2.6186480862753734","2.4825453758239746","2.767507553100586"
"91","12046.285714285714","12035","12059","2.7415191446031844","2.5086793899536133","2.898972749710083"
"92","12179.6","12167","12191","2.6593695640563966","2.42526912689209","2.805699348449707"
"93","12312.5","12299","12323","2.5980682373046875","2.3710618019104004","2.7225301265716553"
"94","12449.5","12447","12452","2.5476796627044678","2.5462749004364014","2.549084424972534"
"95","12571.5","12567","12575","2.623803675174713","2.556349277496338","2.737265110015869"
"96","12702.25","12692","12715","2.6407197415828705","2.472031354904175","2.878330945968628"
"97","12829.75","12822","12846","2.630867660045624","2.610239267349243","2.670804023742676"
"98","12966","12956","12976","2.5425150791803994","2.3216559886932373","2.6772232055664062"
"99","13093.25","13084","13102","2.618636131286621","2.5894041061401367","2.6518006324768066"
"100","13702.726086956522","13116","14318","2.555241977131885","1.2401065826416016","3.3447792530059814"
"101","14436.777777777777","14428","14448","2.541604995727539","2.337924003601074","2.7808244228363037"
"102","14574.333333333334","14563","14584","2.611116607983907","2.472132444381714","2.760117530822754"
"103","14699","14690","14715","2.5543124675750732","2.4641518592834473","2.6310675144195557"
"104","14835.666666666666","14828","14846","2.5455433130264282","2.3462276458740234","2.652992010116577"
"105","14962.166666666666","14951","14977","2.5748626391092935","2.4540252685546875","2.65488600730896"
"106","15089.6","15083","15098","2.5822751045227053","2.5007741451263428","2.6545732021331787"
"107","15227.75","15214","15235","2.6095367670059204","2.5773472785949707","2.691535472869873"
"108","15360.666666666666","15347","15371","2.5652809937795005","2.4574332237243652","2.706671714782715"
"109","15501.666666666666","15500","15503","2.699028253555298","2.693580150604248","2.7035624980926514"
"110","15625.25","15608","15634","2.6810713410377502","2.626633882522583","2.768616199493408"
"111","15755.875","15745","15766","2.5710604190826416","2.5279335975646973","2.656735420227051"
"112","15880.42857142857","15871","15894","2.6537555967058455","2.4695632457733154","2.7498867511749268"
"113","16013","16001","16027","2.594231230872018","2.440720319747925","2.8144919872283936"
"114","16145","16133","16155","2.652275482813517","2.62306547164917","2.709406614303589"
"115","16278.42857142857","16268","16286","2.646691390446254","2.5384256839752197","2.750837564468384"
"116","16409.333333333332","16400","16420","2.5799187819163003","2.4970786571502686","2.719681739807129"
"117","16538.375","16526","16553","2.62945219874382","2.5151383876800537","2.7335286140441895"
"118","16672","16662","16682","2.656655708948771","2.5535223484039307","2.789994955062866"
"119","16795","16789","16804","2.6743814945220947","2.64876389503479","2.6982319355010986"
"120","16931.375","16920","16945","2.701961636543274","2.4058468341827393","2.896517753601074"
"121","17064.85714285714","17052","17073","2.6103106907435825","2.5130019187927246","2.6812222003936768"
"122","17197.2","17184","17210","2.5906453371047973","2.453766345977783","2.7172048091888428"
"123","17331","17320","17341","2.5902725160121918","2.401231050491333","2.756133794784546"
"124","17457.88888888889","17446","17472","2.604368713166979","2.4241511821746826","2.7184154987335205"
"125","17594.14285714286","17585","17603","2.6269378662109375","2.456691265106201","2.7439792156219482"
"126","17717.666666666668","17714","17723","2.6284139156341553","2.5322928428649902","2.7363083362579346"
"127","17855.5","17846","17865","2.692851424217224","2.664180278778076","2.7174127101898193"
"128","17988","17971","17997","2.6727391481399536","2.5518381595611572","2.7252185344696045"
"129","18114.166666666668","18103","18128","2.6516565084457397","2.5511295795440674","2.752028703689575"
"130","18242.75","18236","18254","2.577662467956543","2.554697275161743","2.6144332885742188"
"131","18382.25","18378","18386","2.566614508628845","2.4714677333831787","2.800391912460327"
"132","18509.4","18495","18519","2.5949473857879637","2.507800340652466","2.6706795692443848"
"133","18635.14285714286","18626","18651","2.5503364971705844","2.3988466262817383","2.720381021499634"
"134","18768.25","18759","18779","2.6100259125232697","2.5033726692199707","2.7234091758728027"
"135","18901.11111111111","18889","18916","2.593496561050415","2.5001540184020996","2.768760919570923"
"136","19034.8","19021","19046","2.6352306365966798","2.567943572998047","2.7397279739379883"
"137","19168.5","19161","19176","2.54616916179657","2.3711912631988525","2.7045514583587646"
"138","19295.75","19286","19310","2.5032256841659546","2.455155849456787","2.5491902828216553"
"139","19424.875","19414","19436","2.5382177233695984","2.4131689071655273","2.7343947887420654"
"140","19558.625","19547","19567","2.5207251012325287","2.292532205581665","2.683638334274292"
"141","19685.666666666668","19684","19687","2.6427385807037354","2.616525650024414","2.663280963897705"
"142","19813.5","19808","19827","2.6468180815378823","2.551522970199585","2.809812545776367"
"143","19947.833333333332","19941","19958","2.6367384990056357","2.5109522342681885","2.762963056564331"
"144","20083.75","20071","20091","2.5954264402389526","2.518411636352539","2.677560806274414"
"145","20213.4","20205","20223","2.5346166133880614","2.4664089679718018","2.6719985008239746"
"146","20344","20336","20353","2.573301887512207","2.4558563232421875","2.6750755310058594"
"147","20468.5","20464","20473","2.621710181236267","2.6190361976623535","2.6243841648101807"
"148","20600.666666666668","20597","20603","2.54198424021403","2.4416747093200684","2.639115571975708"
"149","20738.666666666668","20735","20743","2.58666197458903","2.54472017288208","2.630845785140991"
"150","20870.4","20862","20881","2.5812488079071043","2.4769845008850098","2.672539472579956"
"151","21007.4","20998","21016","2.5383495807647707","2.440887928009033","2.627619981765747"
"152","21129.6","21120","21144","2.654084825515747","2.633884906768799","2.709221124649048"
"153","21264.714285714286","21251","21278","2.533135005405971","2.3787295818328857","2.8086957931518555"
"154","21391.6","21387","21397","2.5693588256835938","2.520282030105591","2.6305878162384033"
"155","21523.5","21514","21535","2.6147181590398154","2.5521960258483887","2.71960186958313"
"156","21654.625","21645","21664","2.548376679420471","2.432446241378784","2.6870718002319336"
"157","21794.333333333332","21785","21803","2.633941173553467","2.588066577911377","2.685060501098633"
"158","21921","21910","21934","2.514528512954712","2.3049471378326416","2.614168643951416"
"159","22055.5","22045","22066","2.5299251079559326","2.5297820568084717","2.5300681591033936"
"160","22183.125","22174","22192","2.5477339029312134","2.454812526702881","2.671394109725952"
"161","22312","22312","22312","2.58113431930542","2.58113431930542","2.58113431930542"
"162","22449.25","22433","22459","2.5941748917102814","2.447406768798828","2.7445600032806396"
"163","22574","22565","22588","2.535504150390625","2.3857226371765137","2.616231918334961"
"164","22711.5","22695","22722","2.5328301787376404","2.476854085922241","2.629650115966797"
"165","22842.666666666668","22839","22845","2.5648229122161865","2.5519275665283203","2.5835697650909424"
"166","22972.25","22960","22982","2.5978338718414307","2.5097062587738037","2.721302032470703"
"167","23102.428571428572","23091","23109","2.5926194531576976","2.486379384994507","2.694406509399414"
"168","23231.714285714286","23224","23247","2.5652246475219727","2.4485161304473877","2.675062656402588"
"169","23364","23356","23374","2.590824706213815","2.535031318664551","2.7500112056732178"
"170","23494.5","23483","23510","2.546897029876709","2.4167745113372803","2.669710159301758"
"171","23631.333333333332","23625","23640","2.6039443810780845","2.538388729095459","2.724985361099243"
"172","23752.4","23746","23760","2.61236686706543","2.5353314876556396","2.750922679901123"
"173","23891","23881","23903","2.5439331001705594","2.413691759109497","2.6678085327148438"
"174","24021.1","24010","24034","2.6142487049102785","2.413252830505371","2.770665407180786"
"175","24150","24142","24165","2.608064889907837","2.5662739276885986","2.655801773071289"
"176","24278","24270","24291","2.587304413318634","2.4909088611602783","2.647278308868408"
"177","24414.333333333332","24403","24426","2.561978061993917","2.4446322917938232","2.717829704284668"
"178","24544.666666666668","24535","24560","2.587018291155497","2.448390483856201","2.7510581016540527"
"179","24676.3","24665","24689","2.57236909866333","2.472841501235962","2.7110166549682617"
"180","24804","24796","24813","2.5628916740417482","2.480374574661255","2.6555728912353516"
"181","24943","24936","24951","2.556554853916168","2.4344232082366943","2.6568384170532227"
"182","25074.285714285714","25059","25084","2.6274172237941196","2.4914088249206543","2.829007387161255"
"183","25202.285714285714","25190","25216","2.5625452314104353","2.41251802444458","2.6832566261291504"
"184","25334.166666666668","25320","25347","2.570941766103109","2.490272283554077","2.648303747177124"
"185","25468.25","25459","25475","2.643548011779785","2.5786006450653076","2.721250057220459"
"186","25594.333333333332","25584","25608","2.580590526262919","2.473346471786499","2.774636745452881"
"187","25731.6","25715","25741","2.5775994777679445","2.4211957454681396","2.6625895500183105"
"188","25857","25854","25860","2.6198842525482178","2.532125949859619","2.737618923187256"
"189","25991.4","25978","26001","2.560866641998291","2.5103018283843994","2.654979705810547"
"190","26126","26120","26133","2.546751928329468","2.389420986175537","2.6701834201812744"
"191","26254.5","26244","26263","2.5350053707758584","2.4458062648773193","2.662210702896118"
"192","26383.25","26373","26395","2.5122522115707397","2.4754621982574463","2.6080901622772217"
"193","26517.875","26507","26528","2.5447708666324615","2.397096872329712","2.687211275100708"
"194","26646.571428571428","26634","26659","2.530611991882324","2.38690447807312","2.5991878509521484"
"195","26775","26766","26786","2.559555006027222","2.427698850631714","2.696956157684326"
"196","26908.375","26898","26921","2.564441293478012","2.417806386947632","2.6871750354766846"
"197","27041.285714285714","27029","27051","2.5811284950801303","2.3941478729248047","2.7304208278656006"
"198","27173","27163","27184","2.53451292855399","2.3671655654907227","2.6666667461395264"
"199","27303.6","27290","27315","2.5771226406097414","2.457993507385254","2.6251282691955566"
"200","27903.32911392405","27318","28525","2.5185581415514404","1.2273472547531128","3.305406093597412"
"201","28640.75","28633","28653","2.635343015193939","2.5669264793395996","2.7138123512268066"
"202","28775.625","28763","28788","2.5696274638175964","2.358731985092163","2.6907284259796143"
"203","28909","28900","28916","2.5773080587387085","2.47729229927063","2.637786388397217"
"204","29038.166666666668","29025","29052","2.680286169052124","2.566800832748413","2.8747148513793945"
"205","29171","29166","29180","2.4865519205729165","2.3700146675109863","2.589881420135498"
"206","29300.125","29288","29313","2.5467927157878876","2.4483416080474854","2.707775354385376"
"208","29563.8","29559","29570","2.5293141841888427","2.31838059425354","2.7057254314422607"
"209","29698","29688","29708","2.6481499671936035","2.5065460205078125","2.7897539138793945"
"210","29825.14285714286","29815","29840","2.575042281832014","2.455963373184204","2.6725575923919678"
"211","29957","29950","29964","2.4794437885284424","2.346184492111206","2.609311819076538"
"212","30089.6","30076","30100","2.554348611831665","2.433795690536499","2.665353298187256"
"213","30214.8","30206","30228","2.6241321086883547","2.49143385887146","2.734966993331909"
"214","30350.8","30341","30364","2.551635265350342","2.4050917625427246","2.70300555229187"
"215","30482.14285714286","30472","30495","2.546889134815761","2.3288583755493164","2.685152530670166"
"216","30618.2","30606","30627","2.5544504165649413","2.457472324371338","2.6402997970581055"
"217","30749","30741","30757","2.691704511642456","2.6718056201934814","2.7116034030914307"
"218","30879.8","30873","30885","2.571351194381714","2.4632158279418945","2.7986273765563965"
"219","31008.4","31001","31020","2.6363572597503664","2.4929909706115723","2.7568509578704834"
"220","31137.5","31126","31151","2.5156919062137604","2.3657500743865967","2.6456029415130615"
"221","31269.5","31258","31283","2.650994122028351","2.5027365684509277","2.8636116981506348"
"222","31404.333333333332","31392","31415","2.623122493426005","2.514319658279419","2.7670817375183105"
"223","31530","31521","31544","2.5218311548233032","2.3824634552001953","2.6898348331451416"
"224","31658.875","31650","31669","2.5626844465732574","2.3741374015808105","2.736093044281006"
"225","31796.85714285714","31785","31804","2.6099302087511336","2.4578514099121094","2.7518551349639893"
"226","31930.833333333332","31920","31940","2.5705613692601523","2.4926655292510986","2.7008111476898193"
"227","32056","32044","32068","2.583326816558838","2.4608445167541504","2.7845826148986816"
"228","32192.833333333332","32185","32202","2.576591650644938","2.534015655517578","2.643948554992676"
"229","32317.75","32311","32328","2.6380969882011414","2.5517776012420654","2.7384514808654785"
"230","32455.571428571428","32443","32464","2.5484637873513356","2.4216554164886475","2.662047863006592"
"231","32578.375","32570","32592","2.5579931437969208","2.4589455127716064","2.693415403366089"
"232","32712.222222222223","32701","32727","2.620474682913886","2.4694583415985107","2.828878402709961"
"233","32838.833333333336","32831","32852","2.5714972416559854","2.492508888244629","2.640768051147461"
"234","32979","32970","32988","2.5760011672973633","2.4312405586242676","2.6632585525512695"
"235","33106","33096","33120","2.580819272994995","2.523416042327881","2.6422595977783203"
"236","33238.5","33228","33248","2.5029876232147217","2.393002510070801","2.566132068634033"
"237","33373.857142857145","33359","33382","2.530850751059396","2.374206066131592","2.6098666191101074"
"238","33498.2","33489","33510","2.6045694828033445","2.546069860458374","2.677204132080078"
"239","33628","33619","33640","2.6729684670766196","2.6132924556732178","2.707792043685913"
"240","33762.583333333336","33750","33771","2.6257880330085754","2.524261713027954","2.8823750019073486"
"241","33891.75","33888","33900","2.5426812767982483","2.4530575275421143","2.659769296646118"
"242","34026.28571428572","34013","34038","2.654728991644723","2.6269774436950684","2.7160556316375732"
"243","34162","34157","34168","2.5890533924102783","2.5379042625427246","2.6292922496795654"
"244","34286.833333333336","34275","34302","2.5859245459238687","2.505311965942383","2.6991336345672607"
"245","34417","34408","34431","2.5944934487342834","2.557602643966675","2.6226701736450195"
"246","34555.333333333336","34551","34560","2.485856612523397","2.443061351776123","2.5393621921539307"
"247","34677.6","34669","34694","2.527934741973877","2.400961399078369","2.681443691253662"
"248","34817.166666666664","34803","34824","2.59038770198822","2.4949469566345215","2.696617364883423"
"249","34946","34932","34958","2.600005547205607","2.4776570796966553","2.7769947052001953"
"250","35078.2","35064","35088","2.5912429809570314","2.5125322341918945","2.7448654174804688"
"251","35213","35207","35221","2.5461298624674478","2.3897979259490967","2.73801589012146"
"252","35334.75","35325","35345","2.6353861689567566","2.5968475341796875","2.677415370941162"
"253","35465.6","35457","35470","2.5856417655944823","2.497023820877075","2.7170238494873047"
"254","35596.5","35591","35607","2.5886632998784385","2.486029624938965","2.752152442932129"
"255","35730.375","35719","35741","2.583346366882324","2.487326145172119","2.727651357650757"
"256","35865.333333333336","35857","35877","2.606614828109741","2.507917642593384","2.6736176013946533"
"257","35992","35986","36002","2.701377511024475","2.6620705127716064","2.7340073585510254"
"258","36130.333333333336","36123","36139","2.560633420944214","2.5017035007476807","2.6119391918182373"
"259","36260.25","36254","36269","2.5190183520317078","2.4454333782196045","2.573240041732788"
"260","36386.166666666664","36375","36399","2.566299398740133","2.504354476928711","2.6237006187438965"
"261","36523","36513","36530","2.5557956298192344","2.5027055740356445","2.586496591567993"
"262","36650","36638","36661","2.6112703680992126","2.495931386947632","2.8611133098602295"
"263","36780.5","36769","36792","2.5414154132207236","2.442901849746704","2.722801446914673"
"264","36918.5","36903","36926","2.594452460606893","2.4885661602020264","2.678638219833374"
"265","37045.666666666664","37032","37057","2.4815295537312827","2.397508382797241","2.540802240371704"
"266","37171.6","37165","37181","2.553046178817749","2.4126930236816406","2.619097948074341"
"267","37303","37294","37317","2.610309282938639","2.4111440181732178","2.7275302410125732"
"268","37437.5","37428","37444","2.6078250408172607","2.42093825340271","2.763962507247925"
"269","37571.75","37562","37582","2.5269662737846375","2.3343687057495117","2.68476939201355"
"270","37700","37688","37709","2.550182056427002","2.461270570755005","2.62939190864563"
"271","37830.6","37819","37844","2.62022180557251","2.559353828430176","2.6785826683044434"
"272","37959.57142857143","37950","37970","2.612364258084978","2.530797243118286","2.7419722080230713"
"273","38096.142857142855","38084","38108","2.6117913041796004","2.5016543865203857","2.7360591888427734"
"274","38225.5","38215","38236","2.5720766385396323","2.4976444244384766","2.74368953704834"
"275","38354.666666666664","38345","38368","2.565601388613383","2.5480809211730957","2.582533836364746"
"276","38491.71428571428","38477","38500","2.602673019681658","2.511770248413086","2.773606061935425"
"277","38617.9","38606","38630","2.5047162055969237","2.2165167331695557","2.651289224624634"
"278","38753.166666666664","38739","38761","2.502786715825399","2.3421058654785156","2.5788090229034424"
"279","38885","38873","38895","2.53508517742157","2.262864351272583","2.747762441635132"
"280","39013.42857142857","39005","39025","2.551584005355835","2.3391025066375732","2.766861915588379"
"281","39146.5","39141","39153","2.553942322731018","2.4386706352233887","2.6659069061279297"
"282","39276.875","39263","39289","2.5656940042972565","2.4363389015197754","2.6674225330352783"
"283","39403.25","39400","39407","2.5435217022895813","2.515390157699585","2.575655221939087"
"284","39538.5","39529","39546","2.534631073474884","2.3984158039093018","2.662184953689575"
"285","39672.5","39663","39683","2.5483434796333313","2.524895429611206","2.5676589012145996"
"286","39807","39795","39814","2.5439887046813965","2.4763336181640625","2.634660243988037"
"287","39932.5","39920","39942","2.637378841638565","2.506375789642334","2.7964489459991455"
"288","40063.5","40051","40076","2.4628172715504966","2.360351085662842","2.558816909790039"
"289","40196.88888888889","40182","40206","2.4973122013939753","2.3870086669921875","2.6226184368133545"
"290","40323.166666666664","40313","40339","2.5891115268071494","2.5399584770202637","2.68119740486145"
"291","40459.57142857143","40448","40469","2.5642965521131242","2.4793012142181396","2.633596181869507"
"292","40588","40575","40602","2.5542222261428833","2.3390393257141113","2.724963903427124"
"293","40718","40707","40730","2.5517186164855956","2.4275312423706055","2.614743709564209"
"294","40852.625","40841","40864","2.580673485994339","2.3677234649658203","2.7763826847076416"
"295","40986","40971","40996","2.536481738090515","2.368279218673706","2.731525182723999"
"296","41112.5","41100","41123","2.6375405192375183","2.5682244300842285","2.7104697227478027"
"297","41241.666666666664","41232","41258","2.575897494951884","2.4317188262939453","2.6930441856384277"
"298","41376","41367","41387","2.5859588384628296","2.5619115829467773","2.598987340927124"
"299","41508.875","41495","41519","2.628546804189682","2.534855604171753","2.8047451972961426"
"300","42090.71367521367","41525","42731","2.5233138534757824","1.257866382598877","3.469897747039795"
"301","42854.333333333336","42851","42860","2.6511309146881104","2.585092067718506","2.725813150405884"
"302","42980.333333333336","42969","42992","2.5952709515889487","2.4929163455963135","2.7725865840911865"
"303","43114.75","43104","43124","2.5421182513237","2.471822500228882","2.5988926887512207"
"304","43244","43232","43257","2.5784592628479004","2.5091607570648193","2.6860554218292236"
"305","43369.5","43364","43379","2.5112666487693787","2.4602935314178467","2.54150390625"
"306","43502.333333333336","43494","43514","2.5821128686269126","2.392883062362671","2.7231550216674805"
"307","43646.142857142855","43638","43651","2.5818086692265103","2.5516998767852783","2.6247880458831787"
"308","43766","43755","43782","2.627169609069824","2.4765968322753906","2.786853790283203"
"309","43900","43890","43912","2.5176207542419435","2.4323582649230957","2.565980911254883"
"310","44029.375","44018","44043","2.589659869670868","2.435455560684204","2.742295742034912"
"311","44162.6","44152","44169","2.5809417724609376","2.482858419418335","2.736257314682007"
"312","44291.166666666664","44281","44300","2.6793626149495444","2.5756092071533203","2.754533052444458"
"313","44420.75","44412","44429","2.5521074533462524","2.461503744125366","2.612039804458618"
"314","44552.75","44543","44562","2.62125164270401","2.492135524749756","2.7585654258728027"
"315","44685.42857142857","44674","44695","2.6275746822357178","2.536827325820923","2.7691872119903564"
"316","44817.5","44805","44829","2.5740782022476196","2.4891200065612793","2.7038614749908447"
"317","44952.6","44941","44961","2.5620935440063475","2.5173797607421875","2.634162664413452"
"318","45076.77777777778","45068","45086","2.6315978368123374","2.4670028686523438","2.737459897994995"
"319","45213.545454545456","45205","45223","2.5729325251145796","2.4324936866760254","2.685248851776123"
"320","45344.57142857143","45335","45354","2.5938475472586497","2.5180981159210205","2.6428961753845215"
"321","45473.5","45463","45486","2.582907795906067","2.4950857162475586","2.6779627799987793"
"322","45607.875","45594","45617","2.6151424944400787","2.4517362117767334","2.839468002319336"
"323","45735.125","45727","45750","2.592689424753189","2.496368408203125","2.667433500289917"
"324","45867.09090909091","45856","45877","2.5848838849501177","2.4441208839416504","2.7333219051361084"
"325","46001.125","45988","46013","2.6003797352313995","2.5417726039886475","2.7088425159454346"
"326","46131.833333333336","46119","46144","2.581107258796692","2.3993210792541504","2.7022087574005127"
"327","46261.7","46250","46273","2.641030478477478","2.5093722343444824","2.7362992763519287"
"328","46393","46386","46406","2.604958176612854","2.453153133392334","2.682844877243042"
"329","46529.25","46512","46538","2.5653454661369324","2.5532095432281494","2.5751264095306396"
"330","46657.25","46648","46668","2.559725046157837","2.374567747116089","2.691532611846924"
"331","46786.166666666664","46774","46795","2.61250368754069","2.4654362201690674","2.7169349193573"
"332","46921.46666666667","46905","46932","2.5334039052327473","2.38112211227417","2.721651315689087"
