"train/global_step","gpt2-medium_fasttune_aux-without_ln - _step","gpt2-medium_fasttune_aux-without_ln - _step__MIN","gpt2-medium_fasttune_aux-without_ln - _step__MAX","gpt2-medium_fasttune_aux-without_ln - eval/loss","gpt2-medium_fasttune_aux-without_ln - eval/loss__MIN","gpt2-medium_fasttune_aux-without_ln - eval/loss__MAX","gpt2-medium_fasttune_aux-without_ln - main_loss","gpt2-medium_fasttune_aux-without_ln - main_loss__MIN","gpt2-medium_fasttune_aux-without_ln - main_loss__MAX"
"150","12905.058823529413","12894","12915","","","","2.893107330097872","2.7874999046325684","3.094026565551758"
"151","12982.615384615385","12972","12993","","","","2.8742424157949595","2.780301570892334","2.9823577404022217"
"152","13061.666666666666","13051","13072","","","","2.8834709326426187","2.6218597888946533","3.0242929458618164"
"153","13139.866666666667","13129","13151","","","","2.861072063446045","2.7032361030578613","2.9629018306732178"
"154","13220.125","13208","13229","","","","2.8805307894945145","2.7694649696350098","2.9916138648986816"
"155","13297.272727272728","13286","13307","","","","2.8968558744950728","2.789790153503418","3.004014015197754"
"156","13374.92857142857","13365","13386","","","","2.9036144699369157","2.8092658519744873","2.9831125736236572"
"157","13452.75","13442","13463","","","","2.8733233511447906","2.6264843940734863","3.0420138835906982"
"158","13535.066666666668","13525","13543","","","","2.893443457285563","2.7835545539855957","2.9863359928131104"
"159","13611.9375","13602","13620","","","","2.8907937556505203","2.6781392097473145","2.9873340129852295"
"160","13686.78947368421","13677","13698","","","","2.8932826393528988","2.726726531982422","3.037466287612915"
"161","13766.904761904761","13756","13778","","","","2.872266406104678","2.7201614379882812","2.998293399810791"
"162","13844.2","13834","13856","","","","2.8787609100341798","2.716434955596924","3.006023406982422"
"163","13922.4","13912","13933","","","","2.893540112177531","2.7655270099639893","3.077504873275757"
"164","14001.142857142857","13991","14013","","","","2.8482470171792165","2.7755587100982666","3.0278701782226562"
"165","14080.076923076924","14069","14091","","","","2.886595689333402","2.7699713706970215","2.976973533630371"
"166","14157.916666666666","14147","14168","","","","2.8642542958259583","2.7785980701446533","3.0292413234710693"
"167","14237.5","14228","14246","","","","2.8864252964655557","2.7352359294891357","3.045069456100464"
"168","14314.42857142857","14305","14326","","","","2.9074855021068027","2.8112010955810547","3.069500684738159"
"169","14394.444444444445","14382","14404","","","","2.874276783731249","2.777176856994629","3.008612871170044"
"170","14470.666666666666","14461","14483","","","","2.9231440385182696","2.719774007797241","3.0071117877960205"
"171","14547.846153846154","14540","14561","","","","2.855363002190223","2.7197351455688477","2.951033353805542"
"172","14628.125","14617","14639","","","","2.8444126546382904","2.6748807430267334","2.975583553314209"
"173","14709.214285714286","14696","14717","","","","2.8371412583759854","2.723660945892334","2.9266927242279053"
"174","14783.6","14775","14795","","","","2.922708018620809","2.728745460510254","3.0919148921966553"
"175","14863.538461538461","14852","14874","","","","2.9077791617466855","2.7844810485839844","3.0780856609344482"
"176","14942.583333333334","14933","14950","","","","2.8674338261286416","2.666374921798706","3.00148868560791"
"177","15019.4375","15009","15030","","","","2.8864211291074753","2.738089084625244","3.0571186542510986"
"178","15099.083333333334","15087","15109","","","","2.8744905392328897","2.7487237453460693","2.982120990753174"
"179","15176.5","15166","15188","","","","2.889757672945658","2.712000608444214","3.015336275100708"
"180","15252.6","15245","15262","","","","2.9012892723083494","2.7428998947143555","3.005897045135498"
"181","15333.777777777777","15324","15343","","","","2.903210851881239","2.7864701747894287","3.057983636856079"
"182","15414.076923076924","15404","15423","","","","2.8894418569711537","2.776667594909668","3.01389741897583"
"183","15490.3","15482","15499","","","","2.907150316238403","2.769801378250122","3.036160945892334"
"184","15569.416666666666","15557","15579","","","","2.9300759037335715","2.7747106552124023","3.078105926513672"
"185","15644.714285714286","15636","15658","","","","2.8938554184777394","2.791680335998535","3.058586359024048"
"186","15726.333333333334","15714","15736","","","","2.883321777979533","2.7707605361938477","3.052079439163208"
"187","15805.214285714286","15793","15814","","","","2.891275201525007","2.738271951675415","3.0071892738342285"
"188","15880.941176470587","15871","15892","","","","2.897349385654225","2.7522940635681152","3.0558223724365234"
"189","15958.90909090909","15950","15970","","","","2.8764794089577417","2.7970526218414307","2.983397960662842"
"190","16038.733333333334","16029","16050","","","","2.8506089210510255","2.7059454917907715","2.9668781757354736"
"191","16119.923076923076","16107","16128","","","","2.840637133671687","2.72910213470459","3.003699779510498"
"192","16195.722222222223","16185","16206","","","","2.8876108990775213","2.7008068561553955","3.0004637241363525"
"193","16277","16263","16284","","","","2.861718702316284","2.6711463928222656","3.0080697536468506"
"194","16351.444444444445","16344","16362","","","","2.8351418177286782","2.7021055221557617","3.0413002967834473"
"195","16427.285714285714","16418","16440","","","","2.8819212402616228","2.737375020980835","3.009108543395996"
"196","16503.909090909092","16498","16513","","","","2.8456001715226606","2.6981027126312256","3.038325071334839"
"197","16584.066666666666","16575","16595","","","","2.8853630224863687","2.7158541679382324","2.9970102310180664"
"198","16662.35714285714","16652","16672","","","","2.8546454906463623","2.719362258911133","2.9973974227905273"
"199","16740.076923076922","16730","16750","","","","2.844206168101384","2.7531309127807617","3.0237438678741455"
"200","17301.808846761454","16754","17906","2.813565731048584","2.813565731048584","2.813565731048584","2.783250597647474","1.5115606784820557","3.6273932456970215"
"201","17976.9375","17966","17988","","","","2.83812116086483","2.7290585041046143","2.924794912338257"
"202","18058","18048","18065","","","","2.8871550193199744","2.6632368564605713","2.975414276123047"
"203","18133.090909090908","18123","18143","","","","2.910159111022949","2.7485830783843994","3.0631589889526367"
"204","18210.285714285714","18202","18222","","","","2.9055456944874356","2.7217705249786377","3.083249092102051"
"205","18289.066666666666","18278","18300","","","","2.885664367675781","2.7838196754455566","3.0693857669830322"
"206","18366.2","18356","18376","","","","2.8655491352081297","2.789527654647827","2.967350482940674"
"207","18444.090909090908","18434","18454","","","","2.8414190899242056","2.639920711517334","2.9468886852264404"
"208","18524.333333333332","18513","18534","","","","2.8741676648457846","2.686070680618286","3.019165277481079"
"209","18601.18181818182","18590","18611","","","","2.876239689913663","2.7472336292266846","3.099395990371704"
"210","18679.5","18669","18689","","","","2.8700151443481445","2.7429933547973633","2.9460697174072266"
"211","18757.214285714286","18746","18768","","","","2.8820172548294067","2.743182420730591","2.98130202293396"
"212","18835.636363636364","18825","18845","","","","2.87348764592951","2.720499038696289","3.0434958934783936"
"213","18912.5","18905","18922","","","","2.855614185333252","2.7217559814453125","2.9834604263305664"
"214","18992.533333333333","18981","19002","","","","2.869876829783122","2.6996827125549316","3.0053036212921143"
"215","19068.076923076922","19058","19077","","","","2.8721931897676907","2.707955837249756","3.0587806701660156"
"216","19148.333333333332","19136","19157","","","","2.888645807902018","2.765087842941284","3.0476396083831787"
"217","19225.75","19214","19235","","","","2.8451563715934753","2.7560479640960693","2.984279155731201"
"218","19300.5","19292","19314","","","","2.835167717933655","2.7086997032165527","2.9523956775665283"
"219","19382.133333333335","19370","19392","","","","2.8832634766896565","2.7357425689697266","3.1111109256744385"
"220","19459.583333333332","19449","19469","","","","2.8760401209195456","2.768240451812744","2.974043846130371"
"221","19534.916666666668","19526","19546","","","","2.900946537653605","2.718249559402466","3.155965566635132"
"222","19615.928571428572","19605","19625","","","","2.840156146458217","2.6841001510620117","2.9955246448516846"
"223","19690.916666666668","19682","19703","","","","2.9148698846499124","2.7912657260894775","3.046420097351074"
"224","19770.5","19761","19782","","","","2.8875099271535873","2.681368350982666","3.058677911758423"
"225","19847.64285714286","19838","19860","","","","2.8655108894620622","2.748481035232544","3.0238683223724365"
"226","19926.833333333332","19916","19937","","","","2.8305078744888306","2.7713820934295654","2.9204888343811035"
"227","20005.88888888889","19994","20016","","","","2.8411802450815835","2.670029640197754","3.0051820278167725"
"228","20082.8","20074","20094","","","","2.86975359916687","2.785175085067749","2.944000005722046"
"229","20162.214285714286","20152","20171","","","","2.8748776401792253","2.736290216445923","3.0148539543151855"
"230","20240.066666666666","20228","20250","","","","2.875706164042155","2.7881524562835693","2.9601311683654785"
"231","20315.916666666668","20306","20326","","","","2.84231690565745","2.7015202045440674","2.9846394062042236"
"232","20395.866666666665","20384","20406","","","","2.8926634311676027","2.7738137245178223","3.054241895675659"
"233","20474.64285714286","20463","20484","","","","2.825921961239406","2.6195425987243652","2.955942153930664"
"234","20551.272727272728","20540","20562","","","","2.8407521464607934","2.740273952484131","2.9213619232177734"
"235","20630.571428571428","20620","20640","","","","2.8366542884281705","2.744791030883789","2.9613327980041504"
"236","20707.69230769231","20698","20716","","","","2.862219737126277","2.7202377319335938","2.9656496047973633"
"237","20785.117647058825","20774","20796","","","","2.866866981281954","2.6283085346221924","3.0301218032836914"
"238","20862.636363636364","20854","20871","","","","2.8690800450064917","2.649691343307495","3.058133840560913"
"239","20941.235294117647","20930","20952","","","","2.8856305094326244","2.752476930618286","3.0306015014648438"
"240","21020.25","21008","21030","","","","2.8582502603530884","2.7484681606292725","2.9918432235717773"
"241","21096.75","21088","21106","","","","2.880461116631826","2.8087944984436035","2.9253225326538086"
"242","21176.4375","21167","21185","","","","2.858011543750763","2.676879644393921","3.0243475437164307"
"243","21253.1875","21243","21264","","","","2.8276834040880203","2.7148828506469727","2.9855220317840576"
"244","21330.64285714286","21320","21341","","","","2.8726108414786204","2.762606382369995","2.9774768352508545"
"245","21409.055555555555","21398","21420","","","","2.8694762653774686","2.736698865890503","2.9603655338287354"
"246","21486.333333333332","21476","21498","","","","2.862742789586385","2.6650888919830322","3.041846990585327"
"247","21565.235294117647","21554","21576","","","","2.871879311168895","2.768925189971924","3.039334535598755"
"248","21642.866666666665","21632","21653","","","","2.8679792245229083","2.683791399002075","3.039886474609375"
"249","21721.666666666668","21711","21732","","","","2.888972043991089","2.782325029373169","3.0623421669006348"
"250","21797.923076923078","21788","21809","","","","2.876033214422373","2.7185146808624268","3.047868013381958"
"251","21877.466666666667","21866","21888","","","","2.8704834461212156","2.7309439182281494","2.9434361457824707"
"252","21956.4","21944","21966","","","","2.881981921195984","2.6709108352661133","2.970576286315918"
"253","22034.46153846154","22023","22044","","","","2.898722997078529","2.8061890602111816","3.095766544342041"
"254","22110.5","22101","22122","","","","2.8692348301410675","2.820303201675415","2.9611737728118896"
"255","22188.866666666665","22178","22200","","","","2.858691199620565","2.627307891845703","2.9518895149230957"
"256","22268.416666666668","22258","22276","","","","2.839923103650411","2.7181236743927","2.945114850997925"
"257","22348.363636363636","22337","22356","","","","2.8347651958465576","2.6512882709503174","2.9283430576324463"
"258","22423.083333333332","22413","22433","","","","2.853118121623993","2.683936834335327","2.940267324447632"
"259","22502.46153846154","22492","22512","","","","2.841289942081158","2.737363338470459","2.9757132530212402"
"260","22577.75","22568","22589","","","","2.894079407056173","2.784682273864746","3.0566792488098145"
"261","22657.214285714286","22646","22667","","","","2.85645968573434","2.5884833335876465","3.037843942642212"
"262","22734.928571428572","22725","22746","","","","2.8203337022236417","2.677781343460083","2.90891432762146"
"263","22815.636363636364","22804","22824","","","","2.844777323982932","2.778982400894165","2.894594430923462"
"264","22891.909090909092","22880","22902","","","","2.851518154144287","2.7211012840270996","2.9551990032196045"
"265","22969.846153846152","22958","22979","","","","2.8467367612398586","2.7046005725860596","2.9918081760406494"
"266","23049","23037","23058","","","","2.84139147400856","2.7212400436401367","2.9841647148132324"
"267","23123.64285714286","23114","23135","","","","2.8846910170146396","2.7680909633636475","3.001681089401245"
"268","23203.615384615383","23192","23214","","","","2.8396007464482236","2.718393087387085","2.9651689529418945"
"269","23279.81818181818","23271","23292","","","","2.8646552562713623","2.6992857456207275","2.991180181503296"
"270","23358","23348","23368","","","","2.8705857594807944","2.7632334232330322","2.9858250617980957"
"271","23438.85714285714","23429","23448","","","","2.854980332510812","2.7226667404174805","2.9339077472686768"
"272","23516.5","23504","23526","","","","2.8493189364671707","2.699002504348755","2.9870104789733887"
"273","23591.166666666668","23584","23604","","","","2.8338403900464377","2.7348875999450684","2.946859121322632"
"274","23673.5","23662","23681","","","","2.8575938045978546","2.7386136054992676","2.9662363529205322"
"275","23747.8","23739","23757","","","","2.902182126045227","2.7940099239349365","3.0168628692626953"
"276","23826.428571428572","23816","23837","","","","2.8399431875773837","2.711637496948242","2.9779751300811768"
"277","23903.333333333332","23894","23912","","","","2.859355628490448","2.6523005962371826","2.928610324859619"
"278","23982.6","23972","23993","","","","2.8724148591359455","2.6612977981567383","3.045823812484741"
"279","24061.647058823528","24050","24072","","","","2.8273869823007023","2.686978340148926","2.9530415534973145"
"280","24139.76923076923","24128","24148","","","","2.880409919298612","2.7580838203430176","3.012145519256592"
"281","24216.14285714286","24207","24228","","","","2.8430943148476735","2.7345566749572754","2.9457714557647705"
"282","24296.058823529413","24284","24306","","","","2.8313526826746322","2.6999247074127197","2.9711780548095703"
"283","24375.083333333332","24362","24384","","","","2.831445495287577","2.732194423675537","2.9619863033294678"
"284","24451.363636363636","24441","24461","","","","2.859575249932029","2.754305601119995","2.9579780101776123"
"285","24529.35714285714","24518","24540","","","","2.8754683222089494","2.7299060821533203","3.0927436351776123"
"286","24605.88888888889","24596","24617","","","","2.8618286980523004","2.752779006958008","3.039149284362793"
"287","24684.53846153846","24675","24695","","","","2.8186883192795973","2.733212947845459","3.0236053466796875"
"288","24761.615384615383","24752","24772","","","","2.8385240664848914","2.7133259773254395","3.0660886764526367"
"289","24841.941176470587","24830","24852","","","","2.8803099323721493","2.7669594287872314","2.9703049659729004"
"290","24919.083333333332","24909","24930","","","","2.813771148522695","2.735917329788208","2.929225444793701"
"291","24998.636363636364","24990","25007","","","","2.8587803190404717","2.6345112323760986","2.988354206085205"
"292","25075.866666666665","25064","25086","","","","2.8616124471028646","2.672478437423706","2.958220958709717"
